sale_id,product_name,price,quantity,sale_date,customer_name,customer_email,customer_address,payment_method,store_location
e819253c-00af-4003-b1c4-64fdf19a7597,nearly,188.6,4,2023-12-31,Angela Lopez,tinaglover@example.net,"7925 Mark Flat Apt. 755
Port Robert, CO 42291",PayPal,Danielshire
b125778e-1944-4a35-90c3-5c8f864e6326,hotel,55.93,3,2024-04-05,John Terry,rebecca14@example.net,"470 Jacob Greens
Smithland, FM 46143",PayPal,Monicaside
2705089b-0b13-41c8-b38a-698c6edaa270,range,253.77,3,2024-03-11,David Norton,tlawrence@example.org,"57925 Morgan Unions
Debbieville, DC 69607",Credit Card,Kentberg
121bc696-0f16-44a0-86f3-c1433552eed3,raise,326.35,6,2023-12-07,Alejandro Austin,williamsdouglas@example.org,"50394 Michael Fork Suite 157
New Brandonton, TX 73840",PayPal,New Christian
bb8e1780-cb8b-4ed4-a53f-18cc165d46c7,former,389.81,1,2023-02-19,Daniel Rodriguez,andradeantonio@example.net,"USS Hamilton
FPO AE 31717",PayPal,Edwardchester
3351881f-3585-4d92-a50f-c11ca48930f5,believe,149.48,8,2023-03-17,Christina George,andrew72@example.net,"355 Garrett Neck
Port Lisaberg, NH 51094",Cash,Brownshire
f7c946d6-1e77-46eb-af4c-5cef5301f3a8,great,297.71,10,2024-01-17,Alexander Green,qnewman@example.com,"36377 Gonzalez Course Apt. 560
Aguilarshire, MN 88318",Debit Card,Stephensonfurt
29a69147-54e3-4f58-b5b5-509cae577367,federal,237.26,6,2023-11-09,Ashley Powell,cyoung@example.org,"PSC 1323, Box 1418
APO AE 23632",Cash,Arnoldville
29a37633-c386-4b21-ba6e-afb52a808622,speak,466.86,1,2023-05-20,Philip Mercado,karen25@example.net,"263 Grant Gateway Suite 214
Watkinsshire, FL 19577",Cash,Matthewston
9d1c6719-7411-4d28-96ab-2e5b9dff3ae0,positive,301.96,3,2023-01-19,Alexis White,stewartstephanie@example.com,"727 Richard Motorway
Schroederfort, MS 34868",PayPal,New Amberside
16fc7467-4b21-4935-9aaa-ef0503c607b5,age,413.58,4,2024-01-13,Eric Ballard,rebeccaross@example.net,"83532 Austin Lake Suite 302
East Maryton, SD 96449",Debit Card,Greenland
dfb7f69b-7233-48ad-b327-c55eb9d8d3de,later,67.33,3,2022-08-04,Brandon Doyle,andrea03@example.org,"8298 Newton Points Suite 523
Lake Alyssaborough, MA 69345",Debit Card,Meghanfurt
